gap_y,gap_height,time
0.7966535474880461,0.2728300796789295,2
0.29314749632923404,0.28506588060614846,4
0.5946455242410789,0.27799859894585643,6
0.3009271813824793,0.24227299097013366,8
0.29704364044018583,0.27760695833487326,10
0.6046451518578687,0.20325423937155337,12
0.66374674174521,0.27177506062286483,14
0.7212772134804899,0.21105679821226148,16
0.4915164048619453,0.272165344309363,18
0.5115823686629115,0.2886650785201315,20
0.5130574862275628,0.23352002141294828,22
0.7307664057678152,0.2417215808041038,24
0.717585539564376,0.24489595615156903,26
0.7439295487946851,0.2807922760098939,28
0.412584768735247,0.24187346693753506,30
0.38300479638794427,0.2550033052411584,32
0.4958515694962995,0.20760118819342532,34
0.7270047583388177,0.2801724463036999,36
0.21525791903879085,0.2948710825937393,38
0.42884725946103874,0.2710293311012824,40
